CAN Init OK!!
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  926,
data_result.ADC1_Sensor_Height[1] =  926,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  926,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  65512,
data_result.ADC1_Sensor_Height[0] =  926,
data_result.ADC1_Sensor_Height[1] =  926,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  926,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  925,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  924,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  924,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  924,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  924,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  925,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  925,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  924,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  924,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  924,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  924,
data_result.ADC1_Sensor_Height[1] =  925,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  924,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1006,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1006,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1006,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1006,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1006,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1006,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1006,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1006,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1007,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1007,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1007,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1007,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1007,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1007,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1006,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1006,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	303,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  628,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  628,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		386,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  627,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  627,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		386,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  627,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  627,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		386,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  627,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  627,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		386,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  627,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  627,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		386,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  628,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  628,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		386,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  627,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  627,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		386,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  625,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  625,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		387,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  625,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  625,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		387,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  625,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  625,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		387,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  625,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  625,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		387,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  625,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  625,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		387,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  625,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  625,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		387,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  637,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  637,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		381,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  672,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  672,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		364,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  714,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  714,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		343,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  765,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  765,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		317,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  793,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  793,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		303,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  803,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  803,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		298,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  808,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  808,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		296,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  833,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  833,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		283,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  852,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  852,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		274,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  875,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  875,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		262,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  897,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  897,
out_par.DownValve_01 =  		0,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	0,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  934,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  934,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	267,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  989,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  989,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	294,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1040,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1040,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	320,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1072,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1072,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	336,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1066,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1066,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	333,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1036,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1036,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	318,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  1010,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  1010,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	305,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  986,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  986,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	293,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  958,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  958,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	279,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  952,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  952,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	276,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  952,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  952,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	276,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  952,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  952,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	276,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  951,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
data_storage.PickerPar.RealHeight =  951,
out_par.DownValve_01 =  		1,
out_par.PWM_Up_Value  =  		0,
out_par.PWM_Down_Value  =  	275,
data_storage.SetHeight =  900,
data_result.ADC1_Sensor_Height[0] =  951,
data_result.ADC1_Sensor_Height[1] =  9999,
data_result.ADC1_Sensor_Height[2] =  9999,
data_result.ADC1_Sensor_Height[3] =  9999,
